AÃ‘O,VICTIMA,N_HOMICIDIOS,%_CAMBIO_HOMICIDIOS
2016,AUTO,18,
2017,AUTO,23,27.777777777777768
2018,AUTO,17,-26.086956521739136
2019,AUTO,11,-35.29411764705882
2020,AUTO,12,9.090909090909083
2021,AUTO,11,-8.333333333333337
2016,BICICLETA,4,
2017,BICICLETA,4,0.0
2018,BICICLETA,3,-25.0
2019,BICICLETA,7,133.33333333333334
2020,BICICLETA,5,-28.57142857142857
2021,BICICLETA,6,19.999999999999996
2016,CARGAS,3,
2017,CARGAS,2,-33.333333333333336
2018,CARGAS,2,0.0
2016,MOTO,65,
2017,MOTO,56,-13.846153846153841
2018,MOTO,57,1.7857142857142794
2019,MOTO,49,-14.035087719298245
2020,MOTO,28,-42.85714285714286
2021,MOTO,46,64.28571428571428
2016,MOVIL,1,
2018,MOVIL,2,100.0
2017,OBJETO FIJO,2,
2016,PASAJEROS,1,
2018,PASAJEROS,2,100.0
2019,PASAJEROS,1,-50.0
2021,PASAJEROS,1,0.0
2016,PEATON,49,
2017,PEATON,49,0.0
2018,PEATON,66,34.6938775510204
2019,PEATON,35,-46.96969696969697
2020,PEATON,34,-2.857142857142858
2021,PEATON,33,-2.941176470588236
2020,PEATON_MOTO,2,
2016,SD,5,
2017,SD,4,-19.999999999999996
